,dt,name,median_spores,prevalence_hi
252,21960,R6C1PK_MON,0,0
253,21960,R6C2SM_MON,0,0
254,21960,R7C1SK_MON,0,0
255,21960,R7C2PM_MON,0,0
256,21960,R8C1PL_MON,0,0.01
257,21960,R8C2SL_MON,0,0
258,21960,R9C1SL_MON,0,0
259,21960,R9C2PL_MON,0,0
260,22000,R10C1PL_MON,0,0
261,22000,R10C2SL_MON,0,0
262,22000,R1C1SK_MON,0,0
263,22000,R1C2PM_MON,0,0
264,22000,R2C1PK_MON,0,0
265,22000,R2C2SM_MON,0,0
266,22000,R3C1SK_MON,0,0
267,22000,R3C2PM_MON,0,0
268,22000,R4C1PK_MON,0,0
269,22000,R4C2SM_MON,0,0
270,22000,R5C1SK_MON,0,0
271,22000,R5C2PM_MON,0,0
272,22000,R6C1PK_MON,0,0
273,22000,R6C2SM_MON,0,0
274,22000,R7C1SK_MON,0,0
275,22000,R7C2PM_MON,0,0
276,22000,R8C1PL_MON,0,0.01
277,22000,R8C2SL_MON,0,0
278,22000,R9C1SL_MON,0,0
279,22000,R9C2PL_MON,0,0
280,22040,R10C1PL_MON,1.87517218505141E-08,0
281,22040,R10C2SL_MON,0,0
282,22040,R1C1SK_MON,0,0
283,22040,R1C2PM_MON,0,0
284,22040,R2C1PK_MON,0,0
285,22040,R2C2SM_MON,0,0
286,22040,R3C1SK_MON,0,0
287,22040,R3C2PM_MON,0,0
288,22040,R4C1PK_MON,0,0
289,22040,R4C2SM_MON,0,0
290,22040,R5C1SK_MON,0,0
291,22040,R5C2PM_MON,0,0
292,22040,R6C1PK_MON,0,0
293,22040,R6C2SM_MON,0,0
294,22040,R7C1SK_MON,0,0
295,22040,R7C2PM_MON,0,0
296,22040,R8C1PL_MON,0,0.01
297,22040,R8C2SL_MON,0,0
298,22040,R9C1SL_MON,6.61575153820814E-08,0
299,22040,R9C2PL_MON,0,0
300,22080,R10C1PL_MON,6.57212928523111E-08,0
301,22080,R10C2SL_MON,3.74643952961808E-08,0
302,22080,R1C1SK_MON,0,0
303,22080,R1C2PM_MON,0,0
304,22080,R2C1PK_MON,0,0
305,22080,R2C2SM_MON,0,0
306,22080,R3C1SK_MON,0,0
307,22080,R3C2PM_MON,0,0
308,22080,R4C1PK_MON,0,0
309,22080,R4C2SM_MON,6.62870656980586E-08,0
310,22080,R5C1SK_MON,1.88869307019896E-08,0
311,22080,R5C2PM_MON,0,0
312,22080,R6C1PK_MON,3.78783697608939E-08,0
313,22080,R6C2SM_MON,3.78654815028667E-08,0
314,22080,R7C1SK_MON,1.89914567437113E-08,0
315,22080,R7C2PM_MON,2.22506876331457E-08,0
316,22080,R8C1PL_MON,6.60792199180953E-08,0.01
317,22080,R8C2SL_MON,0,0
318,22080,R9C1SL_MON,1.89692051107052E-07,0
319,22080,R9C2PL_MON,0,0
320,22120,R10C1PL_MON,1.50168626809623E-07,0
321,22120,R10C2SL_MON,1.40611944407037E-07,0
322,22120,R1C1SK_MON,1.22950260571938E-07,0
323,22120,R1C2PM_MON,0,0
324,22120,R2C1PK_MON,0,0
325,22120,R2C2SM_MON,0,0
326,22120,R3C1SK_MON,0,0
327,22120,R3C2PM_MON,0,0
328,22120,R4C1PK_MON,3.83136336019918E-08,0
329,22120,R4C2SM_MON,1.89640158316442E-07,0
330,22120,R5C1SK_MON,1.88580804305625E-07,0
331,22120,R5C2PM_MON,1.89652665921318E-08,0
332,22120,R6C1PK_MON,6.63394278677612E-08,0
333,22120,R6C2SM_MON,3.59766857583627E-07,0
334,22120,R7C1SK_MON,9.48788761669332E-08,0
335,22120,R7C2PM_MON,2.23120890636608E-07,0
336,22120,R8C1PL_MON,1.23196205077449E-07,0.01
337,22120,R8C2SL_MON,4.20009339081676E-08,0
338,22120,R9C1SL_MON,5.10497929204157E-07,0
339,22120,R9C2PL_MON,0,0
340,22160,R10C1PL_MON,2.90858954597841E-07,0
341,22160,R10C2SL_MON,2.81624971463052E-07,0
342,22160,R1C1SK_MON,2.2736450235851E-07,0
343,22160,R1C2PM_MON,0,0
344,22160,R2C1PK_MON,1.89390945242347E-08,0
345,22160,R2C2SM_MON,0,0
346,22160,R3C1SK_MON,5.73913233673013E-08,0
347,22160,R3C2PM_MON,2.96333988573027E-08,0
348,22160,R4C1PK_MON,1.5307075475626E-07,0
349,22160,R4C2SM_MON,3.79515685952379E-07,0
350,22160,R5C1SK_MON,4.35875245632058E-07,0
351,22160,R5C2PM_MON,8.52009954463526E-08,0
352,22160,R6C1PK_MON,1.9900546902556E-07,0
353,22160,R6C2SM_MON,8.43827006868705E-07,0
354,22160,R7C1SK_MON,2.27505531564639E-07,0
355,22160,R7C2PM_MON,4.9075987002491E-07,0
356,22160,R8C1PL_MON,2.36533585642209E-07,0.01
357,22160,R8C2SL_MON,1.15325565577509E-07,0
358,22160,R9C1SL_MON,1.0044450970013E-06,0
359,22160,R9C2PL_MON,0,0
360,22200,R10C1PL_MON,4.60128111156258E-07,0
361,22200,R10C2SL_MON,4.32194250896582E-07,0
362,22200,R1C1SK_MON,6.81559811381509E-07,0
363,22200,R1C2PM_MON,0,0
364,22200,R2C1PK_MON,3.77999793451605E-08,0
365,22200,R2C2SM_MON,0,0
366,22200,R3C1SK_MON,1.90877088184625E-07,0
367,22200,R3C2PM_MON,1.03552726757787E-07,0
368,22200,R4C1PK_MON,3.44797322843016E-07,0
369,22200,R4C2SM_MON,6.35784032556016E-07,0
370,22200,R5C1SK_MON,7.8666258862682E-07,0
371,22200,R5C2PM_MON,1.70466019954417E-07,0
372,22200,R6C1PK_MON,3.79177753549864E-07,0
373,22200,R6C2SM_MON,1.33716323050687E-06,0
374,22200,R7C1SK_MON,5.11804312932165E-07,0
375,22200,R7C2PM_MON,1.03739186687279E-06,0
376,22200,R8C1PL_MON,4.9194051976706E-07,0.01
377,22200,R8C2SL_MON,3.89466197096319E-07,0
378,22200,R9C1SL_MON,1.56421302036447E-06,0
379,22200,R9C2PL_MON,2.1072438202422E-08,0
380,22240,R10C1PL_MON,6.38709969378543E-07,0
381,22240,R10C2SL_MON,5.72901399949057E-07,0
382,22240,R1C1SK_MON,1.16544626183484E-06,0
383,22240,R1C2PM_MON,1.89391666594579E-08,0
384,22240,R2C1PK_MON,2.17490621998061E-07,0
385,22240,R2C2SM_MON,0,0
